season,team,coach,prior_role,prior_detail,prior_nfl_hc,ambiguous,exclude,exclude_reason
2020,DAL,Mike McCarthy,NFL_HC,former Packers HC,1,0,0,
2020,NYG,Joe Judge,OTHER,Patriots ST coord/WR,0,0,0,
2020,WAS,Ron Rivera,NFL_HC,Panthers HC,1,0,0,
2021,ATL,Arthur Smith,OC,Titans OC,0,0,0,
2021,DET,Dan Campbell,OTHER,Saints asst HC/TE,0,1,0,
2021,HOU,David Culley,OTHER,Ravens asst HC/passing game coord,0,0,0,
2021,JAX,Urban Meyer,COLLEGE,former Ohio State HC,0,0,0,
2021,LAC,Brandon Staley,DC,Rams DC,0,0,0,
2021,NYJ,Robert Saleh,DC,49ers DC,0,0,0,
2021,PHI,Nick Sirianni,OC,Colts OC,0,0,0,
2022,CHI,Matt Eberflus,DC,Colts DC,0,0,0,
2022,DEN,Nathaniel Hackett,OC,Packers OC,0,0,0,
2022,HOU,Lovie Smith,DC,Texans DC,1,0,0,
2022,JAX,Doug Pederson,NFL_HC,former Eagles HC,1,0,0,
2022,LV,Josh McDaniels,OC,Patriots OC,1,0,0,
2022,MIA,Mike McDaniel,OC,49ers OC,0,0,0,
2022,MIN,Kevin O'Connell,OC,Rams OC,0,0,0,
2022,NO,Dennis Allen,DC,Saints DC,1,0,0,
2022,NYG,Brian Daboll,OC,Bills OC,0,0,0,
2022,TB,Todd Bowles,DC,Buccaneers DC,1,0,0,
2023,ARI,Jonathan Gannon,DC,Eagles DC,0,0,0,
2023,CAR,Frank Reich,NFL_HC,former Colts HC,1,0,0,
2023,DEN,Sean Payton,NFL_HC,former Saints HC (broadcaster),1,0,0,
2023,HOU,DeMeco Ryans,DC,49ers DC,0,0,0,
2023,IND,Shane Steichen,OC,Eagles OC,0,0,0,
2024,ATL,Raheem Morris,DC,Rams DC,1,0,0,
2024,CAR,Dave Canales,OC,Buccaneers OC,0,0,0,
2024,LAC,Jim Harbaugh,COLLEGE,Michigan HC,1,0,0,
2024,LV,Antonio Pierce,OTHER,Raiders LB coach (interim HC 2023),0,0,0,
2024,NE,Jerod Mayo,OTHER,Patriots LB coach,0,1,0,
2024,SEA,Mike Macdonald,DC,Ravens DC,0,0,0,
2024,TEN,Brian Callahan,OC,Bengals OC,0,0,0,
2024,WAS,Dan Quinn,DC,Cowboys DC,1,0,0,
2025,CHI,Ben Johnson,OC,Lions OC,0,0,0,
2025,DAL,Brian Schottenheimer,OC,Cowboys OC,0,0,0,
2025,JAX,Liam Coen,OC,Buccaneers OC,0,0,0,
2025,LV,Pete Carroll,NFL_HC,former Seahawks HC,1,0,0,
2025,NE,Mike Vrabel,NFL_HC,former Titans HC,1,0,0,
2025,NO,Kellen Moore,OC,Eagles OC,0,0,0,
2025,NYJ,Aaron Glenn,DC,Lions DC,0,0,0,
