position,rank,player,team,note,note_source
QB,17,Matthew Stafford,LA,Stafford still has the arm for the deep shots and now he has Nacua and Adams to throw them to. San Francisco keeps this from being a smash spot.,mc_style
QB,18,Kyler Murray,MIN,All eyes are on the Kyler and Jefferson connection and I need a week before I believe in it. Green Bay is a bad place to debut a new partnership.,mc_style
QB,19,Sam Darnold,SEA,Darnold has been written off twice and keeps producing anyway. Where consensus has him is disrespectful for a starter with this receiver room. Expect a quietly useful line.,mc_style
QB,20,Jordan Love,GB,"Love has the talent and not the consistency, and a divisional game against Minnesota is where that shows up.",mc_style
QB,21,C.J. Stroud,HOU,It is now or never for Stroud and Nico Collins and I think they come out firing in Buffalo. Chasing points is good for quarterback production.,mc_style
QB,22,Daniel Jones,IND,Baltimore forces you to throw and Jones has weapons for the first time in a while. Garbage time counts the same in fantasy.,mc_style
QB,23,Tyler Shough,NO,Detroit is going to be ahead early and Shough is going to be throwing into a bad script all afternoon. Consensus is too high on him.,mc_style
QB,24,Malik Willis,MIA,Willis is a runner first and Miami has not shown me a passing structure worth trusting. Consensus is being generous.,mc_style
QB,25,Cam Ward,TEN,"Ward against the Jets is the kind of matchup that produces a quiet fifteen points. Fine in superflex, nowhere else.",mc_style
QB,26,Kirk Cousins,LV,Cousins has Brock Bowers and a Miami defense that gives up completions. Having him this far down is a mistake for a starting quarterback with a tight end like that. Expect volume.,mc_style
QB,27,Aaron Rodgers,PIT,Rodgers still gets it out fast and Atlanta's secondary is a get right spot. Streamable in a pinch.,mc_style
QB,28,Bryce Young,CAR,Young has flashed and gone quiet more times than I can count. Chicago is not the week to talk yourself into him again.,mc_style
QB,29,Tua Tagovailoa,ATL,"The quarterback room in Atlanta is a mess and Tua is the one who came out of it with the job. Drake London makes any quarterback usable. Low ceiling, workable floor.",mc_style
QB,30,Jacoby Brissett,ARI,"Brissett keeps the lights on and not much else. McBride and Harrison make him watchable, the Chargers make him unstartable.",mc_style
QB,31,Geno Smith,NYJ,Geno with the Jets is a hard sell in any format. Garrett Wilson deserves better than this.,mc_style
QB,32,Deshaun Watson,CLE,Nothing about this profile says start him. Jacksonville is soft enough to keep him on the board in the deepest leagues only.,mc_style
QB,33,Fernando Mendoza,LV,Backing up Cousins means backing up Cousins. Nothing here until something changes.,mc_style
QB,34,Mac Jones,SF,Purdy's backup. Not a fantasy asset this week.,mc_style
QB,35,Anthony Richardson,IND,"The tools have always been there and the job is not. Behind Daniel Jones he is a handcuff, not a start.",mc_style
QB,36,Mitchell Trubisky,TEN,Last man on the board for a reason.,mc_style
RB,1,Jahmyr Gibbs,DET,Gibbs versus a Saints team trying to find their identity. This is the first edition of Sonic with his training wheels off. Easy RB1.,mc
RB,2,Bijan Robinson,ATL,Everyone's early pick for RB1. I like him over the season but he's going against a solid Steelers defense. He'll do great but fall behind top RB numbers for Week 1.,mc
RB,3,Jonathan Taylor,IND,"Best weapon on the Colts against a Ravens team that struggled on the D-line last year. If Madubuike plays to his former form expect slightly lower performance, but overall still a top-tier starter.",mc
RB,4,James Cook,BUF,I like the Bills reliable runner to have a premier role against the stout Texans defense. Expect his performance to continue to peak throughout the year while losing some close goalline touches to the running prowess of Josh Allen.,mc
RB,5,Saquon Barkley,PHI,Saquon's performance dropoff has a lot of doubters putting him lower in the consensus RB rankings. Don't believe them.,mc
RB,6,De'Von Achane,MIA,If he can avoid injury the speedster will have perpetual performance gains as the reliable option in a retooled Miami team.,mc
RB,7,Chase Brown,CIN,Buy every part of the Bengals high powered offense.,mc
RB,8,Christian McCaffrey,SF,CMC loses a bit of performance against one of the best defenses in the league. Aaron Donald sitting out in Australia gives him some more space in a crowded D-line.,mc
RB,9,Derrick Henry,BAL,"Downhill running with a new offensive scheme and threats, expect him to explode against the colts.",mc
RB,10,Kenneth Walker III,KC,Expect the defending super bowl MVP to get major usage against a tough defensive scheme.,mc
RB,11,Omarion Hampton,LAC,Hype surrounds Hampton and he has a good matchup. Role with a solid low tier RB1.,mc
RB,12,Breece Hall,NYJ,"Despite a few lackluster seasons, Breece Hall has big point potential against a team searching for a change. Expect him to get fed.",mc
RB,13,Ashton Jeanty,LV,"Jeanty is going to be a star and Miami is a fine place to start. Consensus is close enough, I just like a couple of the veterans ahead of him for one week.",mc_style
RB,14,Kyren Williams,LA,"Kyren keeps getting doubted and keeps getting the ball inside the five. Corum is the talent, Kyren is the workload. Expect touchdowns.",mc_style
RB,15,Javonte Williams,DAL,Javonte has the backfield to himself in Dallas and the Giants are a good place to have it. Expect a heavy touch count.,mc_style
RB,16,Jeremiyah Love,ARI,"Love has the burst and Arizona has three backs. The Chargers front makes this a tough first look, so consensus is a touch high.",mc_style
RB,17,Travis Etienne,NO,"Etienne is fast and New Orleans is going to be behind, which means passing down work. Kamara is still lurking though. Flex play.",mc_style
RB,18,D'Andre Swift,CHI,Carolina is the matchup you want for a back with Swift's profile. Monangai will steal carries but Swift is the passing down back and that is where the points are.,mc_style
RB,19,Bucky Irving,TB,Irving in a shootout is exactly where you want him. Tampa Bay will be throwing and he catches plenty of them.,mc_style
RB,20,David Montgomery,HOU,"Montgomery is the goalline back and Buffalo is a hard place to score. Touchdown dependent, but the touchdowns come.",mc_style
RB,21,Jadarian Price,SEA,Price has looked like the most explosive back in that Seattle room and consensus has not caught up. Expect the role to grow fast.,mc_style
RB,22,Cam Skattebo,NYG,"Skattebo runs angry and Dallas invites exactly that. Tracy is going to take snaps, which caps the whole thing.",mc_style
RB,23,Bhayshul Tuten,JAX,Tuten has the speed to break a long one on anybody. Cleveland's front means that is the only way he scores.,mc_style
RB,24,Quinshon Judkins,CLE,Judkins is the best back on that roster and the offense around him is the problem. Volume without much efficiency.,mc_style
RB,25,Rhamondre Stevenson,NE,Stevenson gets a bigger role this week than people expect. Seattle is stout but the touches will be there.,mc_style
RB,26,Jaylen Warren,PIT,Warren and Dowdle is a real committee and neither one gets enough for comfort. Atlanta is a good matchup for whoever gets the ball.,mc_style
RB,27,Tony Pollard,TEN,Pollard still has juice and the Jets are a fine matchup. Spears eats into the passing work.,mc_style
RB,28,Rico Dowdle,PIT,The other half of the Pittsburgh committee. Dowdle has been the more efficient one and Warren gets the goalline. Frustrating for both.,mc_style
RB,29,Jonathon Brooks,CAR,Brooks has the talent and Hubbard has the trust. Chicago is a bad matchup to sort that out.,mc_style
RB,30,RJ Harvey,DEN,Harvey is the change of pace and Kansas City is a hard place to find space. Deep league flex.,mc_style
RB,31,Chuba Hubbard,CAR,Hubbard keeps outproducing the guy drafted to replace him. Chicago is tough but the touches are real.,mc_style
RB,32,Kenny Gainwell,TB,Gainwell catches passes in a game that will have plenty of them. PPR only.,mc_style
RB,33,J.K. Dobbins,DEN,Dobbins has been productive whenever healthy and that has always been the whole problem. Kansas City is not the week.,mc_style
RB,34,MarShawn Lloyd,GB,"With Jacobs where I have him, Lloyd is more interesting than his ranking. Still a stash for now.",mc_style
RB,35,Rachaad White,WAS,White is the pass catching half of the Washington backfield. A divisional game keeps everyone in check.,mc_style
RB,36,Kyle Monangai,CHI,Monangai has earned real carries and Carolina is the softest run matchup on the board. Consensus is asleep on him.,mc_style
RB,37,Jordan Mason,MIN,Mason is the early down back in a three man room. Green Bay makes that hard to use.,mc_style
RB,38,Alvin Kamara,NO,Everyone has moved on from Kamara and the receiving work is still there. Consensus has him far too low for a back who catches this many passes in a losing script. Expect him to matter.,mc_style
RB,39,Jacory Croskey-Merritt,WAS,Croskey-Merritt has flashed and the Washington backfield is crowded. Wait and see.,mc_style
RB,40,Aaron Jones,MIN,Jones against his old team is a fun story and a bad fantasy start. Three backs is too many.,mc_style
RB,41,Blake Corum,LA,Corum is the more talented back and Kyren is the one getting the ball. Consensus is buying a role that does not exist yet.,mc_style
RB,42,Woody Marks,HOU,"Marks is the receiving back behind Montgomery, and Buffalo means throwing. Deep league flex.",mc_style
RB,43,Chris Rodriguez Jr.,JAX,Rodriguez is the short yardage back in Jacksonville. That is a real job even if it is not a fun one.,mc_style
RB,44,Tyler Allgeier,ARI,Three backs in Arizona and Allgeier is the between the tackles one. Hard to trust.,mc_style
RB,45,Tyjae Spears,TEN,Spears has the ability and Pollard has the workload. Handcuff.,mc_style
RB,46,Dylan Sampson,CLE,Sampson is behind Judkins on an offense that struggles to score. Bench.,mc_style
RB,47,Tank Bigsby,PHI,"Bigsby is the Barkley handcuff, which is one of the more valuable bench spots in fantasy. Not a start.",mc_style
RB,48,Justice Hill,BAL,Hill is the passing down back in an offense that scores constantly. Consensus ignores what that is worth in PPR. Expect catches.,mc_style
RB,49,Kimani Vidal,LAC,Vidal has looked good whenever he has played and Hampton cannot take every snap. Worth more than consensus gives him.,mc_style
RB,50,Tyrone Tracy Jr.,NYG,Tracy splits with Skattebo and neither one is startable. Dallas is a fine matchup for whoever wins the job.,mc_style
RB,51,Emmett Johnson,KC,Behind Walker in Kansas City. Stash only.,mc_style
RB,52,Ray Davis,BUF,Davis is the Cook handcuff on a great offense. That is the whole appeal.,mc_style
RB,53,Kaelon Black,SF,"Behind McCaffrey, which means nothing until it means everything. Handcuff.",mc_style
RB,54,Jaylen Wright,MIA,Wright has the speed and Achane has the job. Stash.,mc_style
RB,55,Samaje Perine,CIN,Perine catches passes on a great offense. Deep PPR only.,mc_style
RB,56,Bam Knight,ARI,Third back in a three back room. No thanks.,mc_style
RB,57,Max Bredeson,MIN,Fullback. Not a fantasy play.,mc_style
RB,58,Robbie Ouzts,SEA,Blocking back. Nothing here.,mc_style
RB,59,Josh Jacobs,GB,This is my biggest call of the week and I will own it. Something is off in Green Bay and I do not trust the workload at all right now. Consensus is still far too high on him for me.,mc_style
WR,1,Ja'Marr Chase,CIN,"Joe's number one target makes miracles happen. They won't be needed against Tampa Bay, but expect a high scoring game with lots of fantasy potential.",mc
WR,2,Puka Nacua,LA,"Tons of targets, tons of hype, tons of opportunity",mc
WR,3,Amon-Ra St. Brown,DET,"Detroit will have their way with New Orleans, expect the Goff connection to continue for an above average performance for Amon-Ra",mc
WR,4,Jaxon Smith-Njigba,SEA,"Expect glue like coverage from a tough secondary in New England, but JSN will find a way to crack the top 5 nonetheless.",mc
WR,5,CeeDee Lamb,DAL,"Expect Dak to feed both his receivers. Pickens will pull some targets, but great things are in Ceedee's future.",mc
WR,6,Justin Jefferson,MIN,All eyes are on the Kyler-Jefferson connection. He hasn't performed the same since Kirk and Darnold left the building.,mc
WR,7,A.J. Brown,NE,I believe the AJ Brown Drake Maye connection will be real from day one. Get in on the hype early.,mc
WR,8,Nico Collins,HOU,It's now or never for the CJ Stroud and Nico Collins connection. I think they get off to a strong start in Buffalo.,mc
WR,9,Drake London,ATL,"Distraction and turnover in the quarterback room throws some questions at Drake London, but with Bijan in the backfield, I expect plenty of opportunities to hit Tua's number one target.",mc
WR,10,DeVonta Smith,PHI,With AJ Brown gone DeVonta Smith just become the only alpha in town. It's put up or shut up time and a divisional matchup against the Commanders is the time to demonstrate how he can carry the offense without other elite talent at wideout.,mc
WR,11,George Pickens,DAL,Another year of George Pickens showing what he can do when he has a good quarterback under center. WR1 talent in a WR2 role. I expect him to pop off against the Giants in an early season primetime game.,mc
WR,12,Rashee Rice,KC,"High target volume is the right place to live for Rashee Rice against a stout Broncos defense. Injuries have hurt the chiefs the past few seasons, but Rice will continue his onfield performance in game one against the Broncos.",mc
WR,13,Zay Flowers,BAL,Flowers is the number one in Baltimore and Indianapolis has trouble with speed. Expect Lamar to look his way early and often.,mc_style
WR,14,Chris Olave,NO,"Olave is talented and the quarterback situation is the ceiling. Consensus is paying for the name, and Detroit is not the matchup that fixes it.",mc_style
WR,15,Garrett Wilson,NYJ,Wilson deserves so much better than this quarterback room and produces anyway. Tennessee is a get right spot. Start him.,mc_style
WR,16,Malik Nabers,NYG,Nabers is a monster and Dart is still figuring it out. Consensus is fair for the season and a touch high for week one.,mc_style
WR,17,Jaylen Waddle,DEN,Waddle and Nix is a brand new connection and Kansas City is a bad first test. The talent keeps him startable anyway.,mc_style
WR,18,Tee Higgins,CIN,"Buy the whole Cincinnati offense, and Higgins is the part people forget about. A shootout in Tampa Bay means two receivers eat, not one.",mc_style
WR,19,Ladd McConkey,LAC,McConkey is Herbert's favorite target and Arizona gives up slot production. Reliable.,mc_style
WR,20,Davante Adams,LA,Adams is still one of the best route runners alive and Stafford still throws it there. Where consensus has him is a name discount. Expect touchdowns.,mc_style
WR,21,DJ Moore,BUF,Moore with Josh Allen is the kind of upgrade the rankings have not priced in yet. Consensus is too low. Get in early.,mc_style
WR,22,Tetairoa McMillan,CAR,"McMillan has the size and Bryce Young has the questions. Chicago's secondary is real, so consensus is optimistic.",mc_style
WR,23,Terry McLaurin,WAS,McLaurin has produced through every quarterback situation imaginable. Philadelphia is tough but he is always involved.,mc_style
WR,24,Emeka Egbuka,TB,"Egbuka is going to be good and Godwin is still there. A shootout helps, but consensus assumes a target share he has not earned yet.",mc_style
WR,25,Luther Burden III,CHI,"Burden has the juice and Chicago has three receivers to feed. Carolina is a great matchup, I just want to see the target share first.",mc_style
WR,26,Parker Washington,JAX,Washington has quietly become Lawrence's most trusted target. Cleveland is tough but the volume is real.,mc_style
WR,27,Jameson Williams,DET,Williams is a big play waiting to happen and New Orleans gives up chunks. Boom or bust as always.,mc_style
WR,28,Christian Watson,GB,Watson has the speed and Green Bay spreads it around too much to trust anybody. Divisional games make that worse.,mc_style
WR,29,Rome Odunze,CHI,Odunze against Carolina is a fine flex play. Burden's arrival makes the target math harder.,mc_style
WR,30,Brian Thomas Jr.,JAX,Thomas is the most talented receiver on that roster and consensus has him too low. Cleveland is tough. He is still the guy.,mc_style
WR,31,Mike Evans,SF,"Evans in San Francisco is one of the stranger sights of the offseason. The red zone ability travels, the divisional matchup caps it.",mc_style
WR,32,Marvin Harrison Jr.,ARI,The talent has never been the question and the quarterback play has. Brissett keeps the ceiling low.,mc_style
WR,33,Chris Godwin Jr.,TB,Godwin in a shootout is useful. Egbuka taking targets is the risk.,mc_style
WR,34,DK Metcalf,PIT,Metcalf with Rodgers should work and Atlanta cannot cover him. Touchdown upside every week.,mc_style
WR,35,Michael Pittman,PIT,Pittman joining Metcalf in Pittsburgh makes both of them harder to trust. Atlanta is soft enough for both to matter.,mc_style
WR,36,Carnell Tate,TEN,Tate is a name I like long term and consensus is way ahead of the role. Three receivers in Tennessee is too many.,mc_style
WR,37,Quentin Johnston,LAC,Johnston has finally started catching what is thrown at him. Consensus is too low for the second option on this offense.,mc_style
WR,38,Wan'Dale Robinson,TEN,Robinson gets volume and no yards after the catch. PPR only.,mc_style
WR,39,Courtland Sutton,DEN,Sutton is the possession guy and Waddle is the new toy. Kansas City is hard on both.,mc_style
WR,40,Michael Wilson,ARI,Wilson is the second option behind Harrison and the quarterback is the problem. Bench.,mc_style
WR,41,Josh Downs,IND,Downs works the middle and Baltimore takes that away. Too many mouths in Indianapolis anyway.,mc_style
WR,42,Stefon Diggs,WAS,Diggs still gets open and McLaurin is the alpha. A divisional matchup keeps it modest.,mc_style
WR,43,Alec Pierce,IND,Pierce is a deep threat and nothing else. Boom or bust in the worst way.,mc_style
WR,44,Jayden Reed,GB,"Reed is the most useful of the Green Bay receivers, which is not saying much. Bench.",mc_style
WR,45,Makai Lemon,PHI,Lemon has a real chance to matter with AJ Brown gone. Not week one though.,mc_style
WR,46,KC Concepcion,CLE,"Concepcion has flashed and the offense is the ceiling. Watch, do not start.",mc_style
WR,47,Jordan Addison,MIN,Addison behind Jefferson with Kyler throwing is a wait and see. Green Bay is a bad debut.,mc_style
WR,48,Deebo Samuel Sr.,SF,Deebo back in San Francisco is my favorite value on this board. Consensus forgot what he does with the ball in his hands. Expect touches everywhere.,mc_style
WR,49,Jakobi Meyers,JAX,Meyers is reliable and third in line. Deep league only.,mc_style
WR,50,De'Zhaun Stribling,SF,Third receiver in San Francisco behind Evans and Deebo. Nothing yet.,mc_style
WR,51,Xavier Worthy,KC,Worthy has the speed to change a game and Rice takes the volume. Consensus is too low for a Mahomes receiver.,mc_style
WR,52,Khalil Shakir,BUF,Shakir is Allen's safety valve and DJ Moore just took the top of that depth chart. Houston is tough.,mc_style
WR,53,Matthew Golden,GB,Another Green Bay receiver in a rotation nobody can predict. Pass.,mc_style
WR,54,Jalen Coker,CAR,Coker has earned snaps and Carolina cannot throw. Bench.,mc_style
WR,55,Romeo Doubs,NE,Doubs is the second option behind AJ Brown and Seattle is stingy. No.,mc_style
WR,56,Jerry Jeudy,CLE,Jeudy still gets separation and the quarterback play buries him. Consensus was too harsh.,mc_style
WR,57,Rashid Shaheed,SEA,Shaheed is a deep threat on a team with JSN and Kupp. Too many mouths.,mc_style
WR,58,Adonai Mitchell,NYJ,"Mitchell has the tools and no quarterback. Right matchup, wrong situation.",mc_style
WR,59,Jauan Jennings,MIN,Jennings is a tough possession receiver behind Jefferson and Addison. Deep leagues only.,mc_style
WR,60,Dontayvion Wicks,PHI,Wicks is depth in Philadelphia. Nothing here.,mc_style
WR,61,Omar Cooper Jr.,NYJ,Third receiver on the Jets. Hard pass.,mc_style
WR,62,Tre Harris,LAC,Harris is behind McConkey and Johnston. Watch list.,mc_style
WR,63,Tre Tucker,LV,Tucker gets the speed targets and Bowers takes everything that matters. Consensus was too high.,mc_style
WR,64,Ja'Kobi Lane,BAL,Lane has size and Lamar throws touchdowns to whoever is open in the red zone. Consensus is too low for that.,mc_style
WR,65,Malik Washington,MIA,Washington works underneath in an offense with no quarterback answer. Bench.,mc_style
WR,66,Cooper Kupp,SEA,"Kupp is not done and consensus was disrespectful. JSN is the alpha, but Darnold trusts veterans. Expect chains moved.",mc_style
WR,67,Jalen Nailor,LV,Nailor is the second receiver in a tight end offense. No.,mc_style
WR,68,Caleb Douglas,MIA,Depth in Miami. Nothing.,mc_style
WR,69,Keenan Allen,IND,Allen is a pro and Indianapolis has too many receivers. Consensus was generous.,mc_style
WR,70,Calvin Ridley,TEN,Ridley has been passed by Tate and Robinson. Hard to see the path.,mc_style
WR,71,Troy Franklin,DEN,Third in Denver behind Waddle and Sutton. Bench.,mc_style
WR,72,Darnell Mooney,NYG,"Mooney is the deep threat behind Nabers, and Dallas gives up big plays. There is a lottery ticket here.",mc_style
WR,73,Devaughn Vele,NO,Vele is big and the offense is bad. No.,mc_style
WR,74,Keon Coleman,BUF,Coleman has the size and Buffalo just added DJ Moore. That is the whole story.,mc_style
WR,75,Rashod Bateman,BAL,Bateman has been the same player for years. Flowers and Lane are ahead of him now.,mc_style
WR,76,Tyquan Thornton,KC,Fourth option in Kansas City. Nothing.,mc_style
WR,77,Xavier Legette,CAR,Legette is behind McMillan and Coker. Pass.,mc_style
WR,78,Darius Slayton,NYG,Slayton is depth on a team with one real receiver. No.,mc_style
WR,79,DeMario Douglas,NE,Douglas works the slot and Seattle covers the slot. Bench.,mc_style
WR,80,Marquise Brown,PHI,Last man on the board. Nothing here this week.,mc_style
TE,1,Trey McBride,ARI,McBride is the safest tight end in football because the target share does not move no matter who is throwing. Expect ten looks and a locked in finish.,mc_style
TE,2,Brock Bowers,LV,Bowers is the entire Las Vegas passing game and Cousins is going to lean on him. Miami gives up work over the middle. Expect a big number.,mc_style
TE,3,Colston Loveland,CHI,Carolina is the softest matchup on the tight end board and Loveland has grown into the role. Expect Caleb to find him in the red zone.,mc_style
TE,4,Tucker Kraft,GB,Kraft has quietly become Love's most reliable target. Divisional games get ugly and ugly games funnel to the tight end.,mc_style
TE,5,Tyler Warren,IND,Warren is going to be very good and Baltimore is a rough introduction. Consensus is a half step early.,mc_style
TE,6,Kyle Pitts,ATL,Every year we do this with Pitts and every year the talent is undeniable. With the quarterback room in flux he might finally be the safety valve. Expect targets.,mc_style
TE,7,George Kittle,SF,Kittle is still the best all around tight end alive when he is on the field and consensus forgets that. Expect him to matter in a divisional game.,mc_style
TE,8,Sam LaPorta,DET,New Orleans cannot cover tight ends and Goff knows exactly where LaPorta is going to be. Solid start.,mc_style
TE,9,Harold Fannin Jr.,CLE,"Fannin has real ability and the Cleveland offense is the problem, not him. Consensus is asking a lot from this passing game.",mc_style
TE,10,Dalton Kincaid,BUF,"Houston is tough and Buffalo spreads it around, but Allen has always trusted his tight end near the goal line. Touchdown dependent.",mc_style
TE,11,Travis Kelce,KC,Kelce is not what he was and Denver is exactly the defense that exposes it. I need a big game before I put him back in the top ten.,mc_style
TE,12,Isaiah Likely,NYG,"Likely finally gets a room where he is the guy, and Dallas gives up plenty over the middle. Sneaky start.",mc_style
TE,13,Mark Andrews,BAL,Everyone has written Andrews off and Lamar keeps throwing him touchdowns. Consensus is too low for a red zone weapon in this offense.,mc_style
TE,14,Dallas Goedert,PHI,Goedert is useful when healthy and that offense runs through everyone but the tight end. Matchup dependent streamer.,mc_style
TE,15,Jake Ferguson,DAL,Lamb and Pickens eat first and Ferguson gets what is left. Against the Giants that is still enough.,mc_style
TE,16,Juwan Johnson,NO,Johnson is the closest thing New Orleans has to a reliable target. Detroit is a bad matchup and the volume comes anyway in a losing script.,mc_style
TE,17,T.J. Hockenson,MIN,Kyler needs a security blanket in a new offense and Hockenson is the obvious one. Consensus is way off. Expect a lot of work early.,mc_style
TE,18,Dalton Schultz,HOU,Schultz is Stroud's short yardage answer and Buffalo will force Houston to throw. Streamable.,mc_style
TE,19,Brenton Strange,JAX,Strange has the role and Cleveland makes it hard to do anything with it. Bench in most formats.,mc_style
TE,20,Chig Okonkwo,WAS,Okonkwo can win with speed and Washington throws to everybody. A divisional game keeps the ceiling in check.,mc_style
TE,21,Hunter Henry,NE,Henry is Maye's safety valve and that matters against a Seattle defense that takes away the outside. Touchdown or bust.,mc_style
TE,22,Greg Dulcich,MIA,Dulcich has always had the athleticism and never the opportunity. Miami might finally give it to him. Worth a dart throw.,mc_style
TE,23,AJ Barner,SEA,Barner gets goalline work and not much else. New England makes even that hard.,mc_style
TE,24,Gunnar Helm,TEN,Helm is on the field and that is about all I can say for him this week.,mc_style
TE,25,Evan Engram,DEN,"Engram is a slot receiver wearing a tight end label and Denver needs playmakers. Consensus is low on him, and chasing Kansas City means throwing.",mc_style
TE,26,Pat Freiermuth,PIT,Rodgers has always loved a tight end and Atlanta cannot cover them. That makes Freiermuth a live streamer in deeper leagues.,mc_style
TE,27,Cade Otton,TB,"Otton gets targets when Tampa Bay is chasing, and they will be chasing. Deep league only.",mc_style
TE,28,David Njoku,LAC,Njoku in a new offense with Herbert is interesting later in the season. Not yet.,mc_style
TE,29,Colby Parkinson,LA,Nacua and Adams take every meaningful target. Nothing here.,mc_style
TE,30,Mason Taylor,NYJ,Taylor will matter eventually. Not with this quarterback situation.,mc_style
TE,31,Mike Gesicki,CIN,The Bengals offense is a buy and the tight end is the last mouth fed. Bench.,mc_style
TE,32,Theo Johnson,NYG,Likely is the tight end in New York now. Johnson is an afterthought.,mc_style
TE,33,Cole Kmet,CHI,Loveland took this job and is not giving it back. Kmet blocks and catches the occasional touchdown.,mc_style
TE,34,Noah Fant,NO,Behind Juwan Johnson on a bad offense. No.,mc_style
TE,35,Tommy Tremble,CAR,Tremble blocks. That is the note.,mc_style
TE,36,Jonnu Smith,GB,Kraft is the guy in Green Bay. Jonnu is depth.,mc_style
